class,method,mr,run,AORB_live,AORB_killed,AORS_live,AORS_killed,AOIU_live,AOIU_killed,AOIS_live,AOIS_killed,AODU_live,AODU_killed,AODS_live,AODS_killed,ROR_live,ROR_killed,COR_live,COR_killed,COD_live,COD_killed,COI_live,COI_killed,SOR_live,SOR_killed,LOR_live,LOR_killed,LOI_live,LOI_killed,LOD_live,LOD_killed,ASRS_live,ASRS_killed,SDL_live,SDL_killed,VDL_live,VDL_killed,CDL_live,CDL_killed,ODL_live,ODL_killed,total_live,total_killed,mutant_score
MethodsFromColt,lag1,aggregate,5,4,56,0,1,2,7,13,55,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,4,4,1,4,1,19,0,3,2,30,28,191,0.87
MethodsFromColt,lag1,aggregate,6,1,59,0,1,0,9,0,68,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,8,0,5,0,20,0,3,1,31,3,216,0.99
MethodsFromColt,lag1,aggregate,7,12,48,0,1,0,9,5,63,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,8,0,5,6,14,1,2,2,30,28,191,0.87
MethodsFromColt,lag1,aggregate,8,7,53,0,1,0,9,7,61,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,7,1,4,3,17,0,3,1,31,21,198,0.90
MethodsFromColt,lag1,aggregate,9,1,59,0,1,0,9,1,67,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,8,0,5,0,20,0,3,1,31,3,216,0.99
MethodsFromColt,lag1,aggregate,10,5,55,0,1,0,9,6,62,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,6,0,5,5,15,1,2,4,28,23,196,0.89
MethodsFromColt,lag1,aggregate,11,0,60,0,1,0,9,0,68,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,7,1,4,0,20,0,3,0,32,2,217,0.99
MethodsFromColt,lag1,aggregate,12,12,48,0,1,3,6,7,61,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,6,1,4,3,17,0,3,7,25,35,184,0.84
MethodsFromColt,max,aggregate,1,0,4,1,2,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,1,56,0.98
MethodsFromColt,max,aggregate,2,1,3,0,3,1,3,2,16,0,0,0,0,0,12,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,4,0,1,0,1,1,2,7,50,0.88
MethodsFromColt,max,aggregate,3,0,4,0,3,0,4,0,18,0,0,0,0,3,9,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,1,4,0,1,0,1,0,3,5,52,0.91
MethodsFromColt,max,aggregate,4,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,max,aggregate,5,0,4,0,3,0,4,2,16,0,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,5,0,1,1,0,0,3,8,49,0.86
MethodsFromColt,max,aggregate,6,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,max,aggregate,7,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,max,aggregate,8,0,4,0,3,0,4,2,16,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,2,55,0.96
MethodsFromColt,max,aggregate,9,1,3,1,2,0,4,4,14,0,0,0,0,1,11,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,0,1,4,0,1,0,1,0,3,10,47,0.82
MethodsFromColt,max,aggregate,10,0,4,1,2,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,1,56,0.98
MethodsFromColt,meanDeviation,aggregate,1,0,8,0,3,0,3,1,15,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,3,0,4,0,0,0,6,1,55,0.98
MethodsFromColt,meanDeviation,aggregate,2,1,7,0,3,0,3,2,14,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,2,2,1,1,3,0,0,0,6,8,48,0.86
MethodsFromColt,meanDeviation,aggregate,3,1,7,1,2,1,2,1,15,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,3,0,4,0,0,0,6,4,52,0.93
MethodsFromColt,meanDeviation,aggregate,4,1,7,0,3,1,2,1,15,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,3,0,3,0,4,0,0,2,4,7,49,0.88
MethodsFromColt,meanDeviation,aggregate,5,0,8,0,3,0,3,0,16,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,3,0,4,0,0,0,6,0,56,1.00
MethodsFromColt,meanDeviation,aggregate,6,1,7,0,3,0,3,0,16,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4,0,3,1,3,0,0,0,6,3,53,0.95
MethodsFromColt,meanDeviation,aggregate,7,2,6,1,2,1,2,3,13,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,2,2,1,2,2,0,0,0,6,13,43,0.77
MethodsFromColt,meanDeviation,aggregate,8,1,7,1,2,0,3,0,16,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,3,0,4,0,0,0,6,2,54,0.96
MethodsFromColt,meanDeviation,aggregate,9,0,8,0,3,0,3,0,16,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,1,2,0,4,0,0,0,6,1,55,0.98
MethodsFromColt,meanDeviation,aggregate,10,2,6,1,2,1,2,0,16,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,3,1,2,1,3,0,0,1,5,9,47,0.84
MethodsFromColt,min,aggregate,1,0,4,1,2,0,4,1,17,0,0,0,0,4,8,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,3,0,1,0,1,0,3,8,49,0.86
MethodsFromColt,min,aggregate,2,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,min,aggregate,3,2,2,0,3,1,3,3,15,0,0,0,0,3,9,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,5,0,1,0,1,0,3,11,46,0.81
MethodsFromColt,min,aggregate,4,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,min,aggregate,5,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,min,aggregate,6,0,4,0,3,0,4,0,18,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,0,57,1.00
MethodsFromColt,min,aggregate,7,0,4,0,3,0,4,1,17,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,1,0,3,1,56,0.98
