Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,deletion,1,5,0.8333333333333334
MethodCollection2,aggregate,arithmetic,1,11,0.9166666666666666
MethodCollection2,aggregate,relational,0,11,1.0
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,4,1.0
MethodCollection2,aggregate,arithmetic,1,10,0.9090909090909091
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,1,4,0.8
MethodCollection2,aggregate,arithmetic,0,3,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,1,0,0.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,2,1.0
MethodCollection2,aggregate,arithmetic,1,13,0.9285714285714286
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,1,13,0.9285714285714286
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,8,1.0
MethodCollection2,aggregate,arithmetic,0,7,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,2,6,0.75
MethodCollection2,aggregate,arithmetic,0,12,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
