"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"88","MethodCollection2","aggregate",9,1,9,1,10,0,2,0,0,0,3,0,0,1,4,3,13,3,28,2.15384615384615,0.9
"89","MethodCollection2","aggregate",10,1,3,1,3,0,1,0,0,0,1,0,0,0,2,2,11,2,10,0.909090909090909,0.83
"90","MethodCollection2","aggregate",11,2,12,0,4,0,1,0,0,0,1,1,3,1,13,2,32,4,34,1.0625,0.89
"91","MethodCollection2","aggregate",12,1,9,1,3,0,1,0,0,0,1,0,4,0,8,2,18,2,26,1.44444444444444,0.93
"92","MethodCollection2","aggregate",13,0,7,1,3,0,1,0,0,0,1,0,4,2,6,2,17,3,22,1.29411764705882,0.88
"93","MethodCollection2","aggregate",14,0,12,0,4,0,1,0,0,0,2,0,4,1,6,3,9,1,29,3.22222222222222,0.97
"94","MethodCollection2","aggregate",15,0,13,1,10,0,2,0,0,0,3,0,0,0,5,3,11,1,33,3,0.97
"95","MethodCollection2","aggregate",16,6,21,1,10,0,2,0,0,0,3,0,0,2,24,6,28,9,60,2.14285714285714,0.87
"96","MethodCollection2","aggregate",17,5,64,2,6,0,2,0,0,0,4,0,0,6,24,6,19,13,100,5.26315789473684,0.88
"97","MethodCollection2","aggregate",18,3,20,2,15,0,3,0,0,0,4,0,0,2,12,10,23,7,54,2.34782608695652,0.89
"98","MethodCollection2","aggregate",19,2,8,1,3,0,1,0,0,0,3,0,2,2,4,3,12,5,21,1.75,0.81
"99","MethodCollection2","aggregate",20,1,16,1,3,0,1,0,0,1,2,0,2,0,10,3,16,3,34,2.125,0.92
"100","MethodCollection2","aggregate",21,7,47,1,21,0,4,0,0,1,7,0,0,2,34,11,52,11,113,2.17307692307692,0.91
"101","MethodCollection2","aggregate",22,0,2,0,5,0,1,0,0,0,1,0,0,0,4,0,15,0,13,0.866666666666667,1
"102","MethodCollection2","aggregate",23,4,19,0,4,0,1,0,0,0,1,1,7,2,12,3,18,7,44,2.44444444444444,0.86
"103","MethodCollection2","aggregate",24,2,8,4,7,0,2,0,0,1,2,0,0,0,6,3,9,7,25,2.77777777777778,0.78
