"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"84","MethodCollection2","add",5,1,24,3,13,0,3,0,0,1,3,0,0,2,12,7,34,7,55,1.61764705882353,0.89
"85","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"86","MethodCollection2","add",7,3,8,1,3,0,1,0,0,0,2,0,0,1,5,2,13,5,19,1.46153846153846,0.79
"87","MethodCollection2","add",8,4,9,1,10,2,0,0,0,0,4,0,0,1,3,1,8,8,26,3.25,0.76
"88","MethodCollection2","add",9,1,9,1,10,1,1,0,0,0,3,0,0,1,4,3,10,4,27,2.7,0.87
"89","MethodCollection2","add",10,1,3,2,2,0,1,0,0,0,1,0,0,0,2,2,11,3,9,0.818181818181818,0.75
"90","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"91","MethodCollection2","add",12,1,9,1,3,0,1,0,0,0,1,0,4,0,8,2,15,2,26,1.73333333333333,0.93
"92","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"93","MethodCollection2","add",14,1,11,0,4,0,1,0,0,0,2,0,4,1,6,3,9,2,28,3.11111111111111,0.93
"94","MethodCollection2","add",15,0,13,1,10,0,2,0,0,0,3,0,0,0,5,3,11,1,33,3,0.97
"95","MethodCollection2","add",16,6,21,1,10,0,2,0,0,0,3,0,0,2,24,6,18,9,60,3.33333333333333,0.87
"96","MethodCollection2","add",17,5,64,2,6,0,2,0,0,0,4,0,0,6,24,6,19,13,100,5.26315789473684,0.88
"97","MethodCollection2","add",18,4,19,2,15,0,3,0,0,0,4,0,0,2,12,10,23,8,53,2.30434782608696,0.87
"98","MethodCollection2","add",19,2,8,1,3,0,1,0,0,0,3,0,2,2,4,3,8,5,21,2.625,0.81
"99","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"100","MethodCollection2","add",21,7,47,1,21,0,4,0,0,1,7,0,0,2,34,11,52,11,113,2.17307692307692,0.91
"101","MethodCollection2","add",22,0,2,0,5,0,1,0,0,0,1,0,0,0,4,0,15,0,13,0.866666666666667,1
"102","MethodCollection2","add",23,4,19,0,4,0,1,0,0,0,1,1,7,2,12,3,18,7,44,2.44444444444444,0.86
"103","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"104","MethodCollection2","add",25,1,23,1,17,0,3,0,0,1,5,0,0,2,6,6,12,5,54,4.5,0.92
"105","MethodCollection2","add",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"106","MethodCollection2","add",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"107","MethodCollection2","add",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
